,dateRep,day,month,year,cases,deaths,country,continent
22766,2020-01-12,1,12,2020,9113.0,449.0,Poland,Europe
691,2020-01-12,1,12,2020,3937.0,143.0,Austria,Europe
5360,2020-01-12,1,12,2020,5181.0,100.0,Czechia,Europe
14024,2020-01-12,1,12,2020,254.0,16.0,Ireland,Europe
12261,2020-01-12,1,12,2020,3951.0,154.0,Hungary,Europe
9290,2020-01-12,1,12,2020,8083.0,775.0,France,Europe
24634,2020-01-12,1,12,2020,4272.0,199.0,Romania,Europe
25580,2020-01-12,1,12,2020,2043.0,30.0,Slovakia,Europe
3593,2020-01-12,1,12,2020,2900.0,75.0,Croatia,Europe
28427,2020-01-12,1,12,2020,5819.0,67.0,Sweden,Europe
10296,2020-01-12,1,12,2020,19217.0,658.0,Germany,Europe
26543,2020-01-12,1,12,2020,2438.0,55.0,Slovenia,Europe
1663,2020-01-12,1,12,2020,2682.0,111.0,Belgium,Europe
2631,2020-01-12,1,12,2020,3475.0,221.0,Bulgaria,Europe
11287,2020-01-12,1,12,2020,2199.0,0.0,Greece,Europe
8585,2020-01-13,13,1,2020,0.0,0.0,Finland,Europe
27734,2020-01-13,13,1,2020,2.0,0.0,Spain,Europe
8584,2020-01-14,14,1,2020,0.0,0.0,Finland,Europe
27733,2020-01-14,14,1,2020,0.0,0.0,Spain,Europe
27732,2020-01-15,15,1,2020,1.0,0.0,Spain,Europe
8583,2020-01-15,15,1,2020,0.0,0.0,Finland,Europe
27731,2020-01-16,16,1,2020,1.0,0.0,Spain,Europe
8582,2020-01-16,16,1,2020,0.0,0.0,Finland,Europe
8581,2020-01-17,17,1,2020,0.0,0.0,Finland,Europe
27730,2020-01-17,17,1,2020,1.0,0.0,Spain,Europe
27729,2020-01-18,18,1,2020,2.0,0.0,Spain,Europe
8580,2020-01-18,18,1,2020,0.0,0.0,Finland,Europe
27728,2020-01-19,19,1,2020,0.0,0.0,Spain,Europe
8579,2020-01-19,19,1,2020,0.0,0.0,Finland,Europe
8578,2020-01-20,20,1,2020,0.0,0.0,Finland,Europe
